indic_en,Year,Percent,Country
Electricity,2008 ,65.1,Austria
Heating and Cooling,2008 ,25.3,Austria
Gross final energy consumption,2009 ,30.0,Austria
Transport,2009 ,11.1,Austria
Electricity,2009 ,67.8,Austria
Heating and Cooling,2009 ,27.7,Austria
Gross final energy consumption,2010 ,30.2,Austria
Transport,2010 ,10.7,Austria
Electricity,2010 ,65.7,Austria
Heating and Cooling,2010 ,29.0,Austria
Gross final energy consumption,2011 ,30.6,Austria
Transport,2011 ,9.9,Austria
Electricity,2011 ,66.0,Austria
Heating and Cooling,2011 ,30.0,Austria
Gross final energy consumption,2012 ,31.5,Austria
Transport,2012 ,9.9,Austria
Electricity,2012 ,66.5,Austria
Heating and Cooling,2012 ,31.1,Austria
Gross final energy consumption,2013 ,32.4,Austria
Transport,2013 ,9.5,Austria
Electricity,2013 ,68.0,Austria
Heating and Cooling,2013 ,33.0,Austria
Gross final energy consumption,2014 ,33.0,Austria
Transport,2014 ,10.9,Austria
Electricity,2014 ,70.1,Austria
Heating and Cooling,2014 ,32.4,Austria
Gross final energy consumption,2015 ,32.8,Austria
Transport,2015 ,11.4,Austria
Electricity,2015 ,70.3,Austria
Heating and Cooling,2015 ,32.4,Austria
Gross final energy consumption,2016 ,33.5,Austria
Transport,2016 ,10.6,Austria
Electricity,2016 ,72.6,Austria
Heating and Cooling,2016 ,33.3,Austria
Gross final energy consumption,2004 ,1.9 ,Belgium
Transport,2004 ,0.5 ,Belgium
Electricity,2004 ,1.7 ,Belgium
Heating and Cooling,2004 ,2.9 ,Belgium
Gross final energy consumption,2005 ,2.3,Belgium
Transport,2005 ,0.6,Belgium
Electricity,2005 ,2.4,Belgium
Heating and Cooling,2005 ,3.4,Belgium
Gross final energy consumption,2006 ,2.6,Belgium
Transport,2006 ,0.6,Belgium
Electricity,2006 ,3.1,Belgium
Heating and Cooling,2006 ,3.7,Belgium
Gross final energy consumption,2007 ,3.1,Belgium
Transport,2007 ,0.6,Belgium
Electricity,2007 ,3.6,Belgium
Heating and Cooling,2007 ,4.5,Belgium
Gross final energy consumption,2008 ,3.6,Belgium
Transport,2008 ,0.6,Belgium
Electricity,2008 ,4.6,Belgium
Heating and Cooling,2008 ,5.0,Belgium
Gross final energy consumption,2009 ,4.7,Belgium
Transport,2009 ,2.1,Belgium
Electricity,2009 ,6.2,Belgium
Heating and Cooling,2009 ,6.0,Belgium
Gross final energy consumption,2010 ,5.7,Belgium
Transport,2010 ,4.7,Belgium
Electricity,2010 ,7.1,Belgium
Heating and Cooling,2010 ,6.1,Belgium
Gross final energy consumption,2011 ,6.3,Belgium
Transport,2011 ,4.7,Belgium
Electricity,2011 ,9.1,Belgium
Heating and Cooling,2011 ,6.6,Belgium
Gross final energy consumption,2012 ,7.2,Belgium
Transport,2012 ,4.8,Belgium
Electricity,2012 ,11.3,Belgium
Heating and Cooling,2012 ,7.3,Belgium
Gross final energy consumption,2013 ,7.5,Belgium
Transport,2013 ,5.0,Belgium
Electricity,2013 ,12.5,Belgium
Heating and Cooling,2013 ,7.4,Belgium
Gross final energy consumption,2014 ,8.0,Belgium
Transport,2014 ,5.7,Belgium
Electricity,2014 ,13.4,Belgium
Heating and Cooling,2014 ,7.7,Belgium
Gross final energy consumption,2015 ,7.9,Belgium
Transport,2015 ,3.8,Belgium
Electricity,2015 ,15.5,Belgium
Heating and Cooling,2015 ,7.8,Belgium
Gross final energy consumption,2016 ,8.7,Belgium
Transport,2016 ,5.9,Belgium
Electricity,2016 ,15.8,Belgium
Heating and Cooling,2016 ,8.1,Belgium
Gross final energy consumption,2004 ,9.4 ,Bulgaria
Transport,2004 ,0.9 ,Bulgaria
Electricity,2004 ,9.1 ,Bulgaria
Heating and Cooling,2004 ,14.1 ,Bulgaria
Gross final energy consumption,2005 ,9.4,Bulgaria
Transport,2005 ,0.8,Bulgaria
Electricity,2005 ,9.3,Bulgaria
Heating and Cooling,2005 ,14.3,Bulgaria
Gross final energy consumption,2006 ,9.6,Bulgaria
Transport,2006 ,1.0,Bulgaria
Electricity,2006 ,9.3,Bulgaria
Heating and Cooling,2006 ,14.8,Bulgaria
Gross final energy consumption,2007 ,9.2,Bulgaria
Transport,2007 ,0.9,Bulgaria
Electricity,2007 ,9.4,Bulgaria
Heating and Cooling,2007 ,13.9,Bulgaria
Gross final energy consumption,2008 ,10.5,Bulgaria
Transport,2008 ,0.9,Bulgaria
Electricity,2008 ,10.0,Bulgaria
Heating and Cooling,2008 ,17.3,Bulgaria
Gross final energy consumption,2009 ,12.1,Bulgaria
Transport,2009 ,1.0,Bulgaria
Electricity,2009 ,11.3,Bulgaria
Heating and Cooling,2009 ,21.7,Bulgaria
Gross final energy consumption,2010 ,14.1,Bulgaria
Transport,2010 ,1.4,Bulgaria
Electricity,2010 ,12.7,Bulgaria
Heating and Cooling,2010 ,24.4,Bulgaria
Gross final energy consumption,2011 ,14.3,Bulgaria
Transport,2011 ,0.8,Bulgaria
Electricity,2011 ,12.9,Bulgaria
Heating and Cooling,2011 ,24.9,Bulgaria
Gross final energy consumption,2012 ,16.0,Bulgaria
Transport,2012 ,0.6,Bulgaria
Electricity,2012 ,16.1,Bulgaria
Heating and Cooling,2012 ,27.5,Bulgaria
Gross final energy consumption,2013 ,19.0,Bulgaria
Transport,2013 ,6.0,Bulgaria
Electricity,2013 ,18.9,Bulgaria
Heating and Cooling,2013 ,29.2,Bulgaria
Gross final energy consumption,2014 ,18.0,Bulgaria
Transport,2014 ,5.8,Bulgaria
Electricity,2014 ,18.9,Bulgaria
Heating and Cooling,2014 ,28.3,Bulgaria
Gross final energy consumption,2015 ,18.2,Bulgaria
Transport,2015 ,6.5,Bulgaria
Electricity,2015 ,19.1,Bulgaria
Heating and Cooling,2015 ,28.6,Bulgaria
Gross final energy consumption,2016 ,18.8,Bulgaria
Transport,2016 ,7.3,Bulgaria
Electricity,2016 ,19.2,Bulgaria
Heating and Cooling,2016 ,30.0,Bulgaria
Gross final energy consumption,2004 ,3.1 ,Cyprus
Transport,2004 ,0.0 ,Cyprus
Electricity,2004 ,0.0 ,Cyprus
Heating and Cooling,2004 ,9.3 ,Cyprus
Gross final energy consumption,2005 ,3.1,Cyprus
Transport,2005 ,0.0,Cyprus
Electricity,2005 ,0.0,Cyprus
Heating and Cooling,2005 ,10.0,Cyprus
Gross final energy consumption,2006 ,3.3,Cyprus
Transport,2006 ,0.0,Cyprus
Electricity,2006 ,0.0,Cyprus
Heating and Cooling,2006 ,10.4,Cyprus
Gross final energy consumption,2007 ,4.0,Cyprus
Transport,2007 ,0.0,Cyprus
Electricity,2007 ,0.1,Cyprus
Heating and Cooling,2007 ,13.1,Cyprus
Gross final energy consumption,2008 ,5.1,Cyprus
Transport,2008 ,1.9,Cyprus
Electricity,2008 ,0.3,Cyprus
Heating and Cooling,2008 ,14.5,Cyprus
Gross final energy consumption,2009 ,5.6,Cyprus
Transport,2009 ,2.0,Cyprus
Electricity,2009 ,0.6,Cyprus
Heating and Cooling,2009 ,16.3,Cyprus
Gross final energy consumption,2010 ,6.0,Cyprus
Transport,2010 ,2.0,Cyprus
Electricity,2010 ,1.4,Cyprus
Heating and Cooling,2010 ,18.2,Cyprus
Gross final energy consumption,2011 ,6.0,Cyprus
Transport,2011 ,0.0,Cyprus
Electricity,2011 ,3.4,Cyprus
Heating and Cooling,2011 ,19.2,Cyprus
Gross final energy consumption,2012 ,6.8,Cyprus
Transport,2012 ,0.0,Cyprus
Electricity,2012 ,4.9,Cyprus
Heating and Cooling,2012 ,20.7,Cyprus
Gross final energy consumption,2013 ,8.1,Cyprus
Transport,2013 ,1.1,Cyprus
Electricity,2013 ,6.6,Cyprus
Heating and Cooling,2013 ,21.6,Cyprus
Gross final energy consumption,2014 ,8.9,Cyprus
Transport,2014 ,2.7,Cyprus
Electricity,2014 ,7.4,Cyprus
Heating and Cooling,2014 ,21.6,Cyprus
Gross final energy consumption,2015 ,9.4,Cyprus
Transport,2015 ,2.5,Cyprus
Electricity,2015 ,8.4,Cyprus
Heating and Cooling,2015 ,22.5,Cyprus
Gross final energy consumption,2016 ,9.3,Cyprus
Transport,2016 ,2.7,Cyprus
Electricity,2016 ,8.6,Cyprus
Heating and Cooling,2016 ,23.0,Cyprus
Gross final energy consumption,2004 ,6.8 ,Czech Republic
Transport,2004 ,1.6 ,Czech Republic
Electricity,2004 ,3.6 ,Czech Republic
Heating and Cooling,2004 ,9.9 ,Czech Republic
Gross final energy consumption,2005 ,7.1,Czech Republic
Transport,2005 ,0.9,Czech Republic
Electricity,2005 ,3.7,Czech Republic
Heating and Cooling,2005 ,10.9,Czech Republic
Gross final energy consumption,2006 ,7.4,Czech Republic
Transport,2006 ,1.2,Czech Republic
Electricity,2006 ,4.0,Czech Republic
Heating and Cooling,2006 ,11.2,Czech Republic
Gross final energy consumption,2007 ,8.0,Czech Republic
Transport,2007 ,1.4,Czech Republic
Electricity,2007 ,4.6,Czech Republic
Heating and Cooling,2007 ,12.4,Czech Republic
Gross final energy consumption,2008 ,8.6,Czech Republic
Transport,2008 ,2.7,Czech Republic
Electricity,2008 ,5.2,Czech Republic
Heating and Cooling,2008 ,12.9,Czech Republic
Gross final energy consumption,2009 ,9.9,Czech Republic
Transport,2009 ,4.1,Czech Republic
Electricity,2009 ,6.4,Czech Republic
Heating and Cooling,2009 ,14.2,Czech Republic
Gross final energy consumption,2010 ,10.5,Czech Republic
Transport,2010 ,5.1,Czech Republic
Electricity,2010 ,7.5,Czech Republic
Heating and Cooling,2010 ,14.0,Czech Republic
Gross final energy consumption,2011 ,10.9,Czech Republic
Transport,2011 ,1.2,Czech Republic
Electricity,2011 ,10.6,Czech Republic
Heating and Cooling,2011 ,15.3,Czech Republic
Gross final energy consumption,2012 ,12.8,Czech Republic
Transport,2012 ,6.1,Czech Republic
Electricity,2012 ,11.7,Czech Republic
Heating and Cooling,2012 ,16.1,Czech Republic
Gross final energy consumption,2013 ,13.8,Czech Republic
Transport,2013 ,6.3,Czech Republic
Electricity,2013 ,12.8,Czech Republic
Heating and Cooling,2013 ,17.6,Czech Republic
Gross final energy consumption,2014 ,15.0,Czech Republic
Transport,2014 ,6.9,Czech Republic
Electricity,2014 ,13.9,Czech Republic
Heating and Cooling,2014 ,19.3,Czech Republic
Gross final energy consumption,2015 ,15.0,Czech Republic
Transport,2015 ,6.5,Czech Republic
Electricity,2015 ,14.1,Czech Republic
Heating and Cooling,2015 ,19.6,Czech Republic
Gross final energy consumption,2016 ,14.9,Czech Republic
Transport,2016 ,6.4,Czech Republic
Electricity,2016 ,13.6,Czech Republic
Heating and Cooling,2016 ,19.9,Czech Republic
Gross final energy consumption,2004 ,5.8 ,Germany
Transport,2004 ,2.2 ,Germany
Electricity,2004 ,9.4 ,Germany
Heating and Cooling,2004 ,6.3 ,Germany
Gross final energy consumption,2005 ,6.7,Germany
Transport,2005 ,4.0,Germany
Electricity,2005 ,10.5,Germany
Heating and Cooling,2005 ,6.8,Germany
Gross final energy consumption,2006 ,7.7,Germany
Transport,2006 ,6.8,Germany
Electricity,2006 ,11.8,Germany
Heating and Cooling,2006 ,7.0,Germany
Gross final energy consumption,2007 ,9.1,Germany
Transport,2007 ,7.5,Germany
Electricity,2007 ,13.6,Germany
Heating and Cooling,2007 ,8.4,Germany
Gross final energy consumption,2008 ,8.6,Germany
Transport,2008 ,6.4,Germany
Electricity,2008 ,15.0,Germany
Heating and Cooling,2008 ,7.4,Germany
Gross final energy consumption,2009 ,9.9,Germany
Transport,2009 ,5.9,Germany
Electricity,2009 ,17.3,Germany
Heating and Cooling,2009 ,9.2,Germany
Gross final energy consumption,2010 ,10.5,Germany
Transport,2010 ,6.4,Germany
Electricity,2010 ,18.2,Germany
Heating and Cooling,2010 ,9.8,Germany
Gross final energy consumption,2011 ,11.4,Germany
Transport,2011 ,6.5,Germany
Electricity,2011 ,20.9,Germany
Heating and Cooling,2011 ,10.5,Germany
Gross final energy consumption,2012 ,12.1,Germany
Transport,2012 ,7.4,Germany
Electricity,2012 ,23.6,Germany
Heating and Cooling,2012 ,10.4,Germany
Gross final energy consumption,2013 ,12.4,Germany
Transport,2013 ,6.9,Germany
Electricity,2013 ,25.3,Germany
Heating and Cooling,2013 ,10.6,Germany
Gross final energy consumption,2014 ,13.8,Germany
Transport,2014 ,7.2,Germany
Electricity,2014 ,28.1,Germany
Heating and Cooling,2014 ,12.2,Germany
Gross final energy consumption,2015 ,14.6,Germany
Transport,2015 ,6.6,Germany
Electricity,2015 ,30.8,Germany
Heating and Cooling,2015 ,12.9,Germany
Gross final energy consumption,2016 ,14.8,Germany
Transport,2016 ,6.9,Germany
Electricity,2016 ,32.2,Germany
Heating and Cooling,2016 ,13.0,Germany
Gross final energy consumption,2004 ,14.9 ,Denmark
Transport,2004 ,0.4 ,Denmark
Electricity,2004 ,23.8 ,Denmark
Heating and Cooling,2004 ,20.6 ,Denmark
Gross final energy consumption,2005 ,16.0,Denmark
Transport,2005 ,0.4,Denmark
Electricity,2005 ,24.6,Denmark
Heating and Cooling,2005 ,22.8,Denmark
Gross final energy consumption,2006 ,16.3,Denmark
Transport,2006 ,0.5,Denmark
Electricity,2006 ,24.0,Denmark
Heating and Cooling,2006 ,23.8,Denmark
Gross final energy consumption,2007 ,17.8,Denmark
Transport,2007 ,0.5,Denmark
Electricity,2007 ,25.0,Denmark
Heating and Cooling,2007 ,26.9,Denmark
Gross final energy consumption,2008 ,18.6,Denmark
Transport,2008 ,0.5,Denmark
Electricity,2008 ,25.9,Denmark
Heating and Cooling,2008 ,28.1,Denmark
Gross final energy consumption,2009 ,20.0,Denmark
Transport,2009 ,0.7,Denmark
Electricity,2009 ,28.3,Denmark
Heating and Cooling,2009 ,29.5,Denmark
Gross final energy consumption,2010 ,22.1,Denmark
Transport,2010 ,1.1,Denmark
Electricity,2010 ,32.7,Denmark
Heating and Cooling,2010 ,31.0,Denmark
Gross final energy consumption,2011 ,23.5,Denmark
Transport,2011 ,3.6,Denmark
Electricity,2011 ,35.9,Denmark
Heating and Cooling,2011 ,32.3,Denmark
Gross final energy consumption,2012 ,25.7,Denmark
Transport,2012 ,6.4,Denmark
Electricity,2012 ,38.7,Denmark
Heating and Cooling,2012 ,33.6,Denmark
Gross final energy consumption,2013 ,27.4,Denmark
Transport,2013 ,6.6,Denmark
Electricity,2013 ,43.1,Denmark
Heating and Cooling,2013 ,35.1,Denmark
Gross final energy consumption,2014 ,29.6,Denmark
Transport,2014 ,6.7,Denmark
Electricity,2014 ,48.5,Denmark
Heating and Cooling,2014 ,38.5,Denmark
Gross final energy consumption,2015 ,31.0,Denmark
Transport,2015 ,6.7,Denmark
Electricity,2015 ,51.3,Denmark
Heating and Cooling,2015 ,40.1,Denmark
Gross final energy consumption,2016 ,32.2,Denmark
Transport,2016 ,6.8,Denmark
Electricity,2016 ,53.7,Denmark
Heating and Cooling,2016 ,41.7,Denmark
Gross final energy consumption,2004 ,18.4 ,Estonia
Transport,2004 ,0.2 ,Estonia
Electricity,2004 ,0.6 ,Estonia
Heating and Cooling,2004 ,33.2 ,Estonia
Gross final energy consumption,2005 ,17.5,Estonia
Transport,2005 ,0.2,Estonia
Electricity,2005 ,1.1,Estonia
Heating and Cooling,2005 ,32.2,Estonia
Gross final energy consumption,2006 ,16.1,Estonia
Transport,2006 ,0.2,Estonia
Electricity,2006 ,1.5,Estonia
Heating and Cooling,2006 ,30.7,Estonia
Gross final energy consumption,2007 ,17.1,Estonia
Transport,2007 ,0.2,Estonia
Electricity,2007 ,1.5,Estonia
Heating and Cooling,2007 ,32.7,Estonia
Gross final energy consumption,2008 ,18.9,Estonia
Transport,2008 ,0.2,Estonia
Electricity,2008 ,2.1,Estonia
Heating and Cooling,2008 ,35.5,Estonia
Gross final energy consumption,2009 ,23.0,Estonia
Transport,2009 ,0.4,Estonia
Electricity,2009 ,6.1,Estonia
Heating and Cooling,2009 ,41.8,Estonia
Gross final energy consumption,2010 ,24.6,Estonia
Transport,2010 ,0.4,Estonia
Electricity,2010 ,10.4,Estonia
Heating and Cooling,2010 ,43.3,Estonia
Gross final energy consumption,2011 ,25.5,Estonia
Transport,2011 ,0.4,Estonia
Electricity,2011 ,12.3,Estonia
Heating and Cooling,2011 ,44.1,Estonia
Gross final energy consumption,2012 ,25.8,Estonia
Transport,2012 ,0.4,Estonia
Electricity,2012 ,15.8,Estonia
Heating and Cooling,2012 ,43.1,Estonia
Gross final energy consumption,2013 ,25.6,Estonia
Transport,2013 ,0.4,Estonia
Electricity,2013 ,13.0,Estonia
Heating and Cooling,2013 ,43.2,Estonia
Gross final energy consumption,2014 ,26.3,Estonia
Transport,2014 ,0.4,Estonia
Electricity,2014 ,14.1,Estonia
Heating and Cooling,2014 ,45.2,Estonia
Gross final energy consumption,2015 ,28.6,Estonia
Transport,2015 ,0.4,Estonia
Electricity,2015 ,15.1,Estonia
Heating and Cooling,2015 ,49.6,Estonia
Gross final energy consumption,2016 ,28.8,Estonia
Transport,2016 ,0.4,Estonia
Electricity,2016 ,15.5,Estonia
Heating and Cooling,2016 ,51.2,Estonia
Gross final energy consumption,2004 ,6.9 ,Greece
Transport,2004 ,0.1 ,Greece
Electricity,2004 ,7.8 ,Greece
Heating and Cooling,2004 ,12.8 ,Greece
Gross final energy consumption,2005 ,7.0,Greece
Transport,2005 ,0.1,Greece
Electricity,2005 ,8.2,Greece
Heating and Cooling,2005 ,12.8,Greece
Gross final energy consumption,2006 ,7.2,Greece
Transport,2006 ,0.7,Greece
Electricity,2006 ,8.9,Greece
Heating and Cooling,2006 ,12.5,Greece
Gross final energy consumption,2007 ,8.2,Greece
Transport,2007 ,1.3,Greece
Electricity,2007 ,9.3,Greece
Heating and Cooling,2007 ,14.4,Greece
Gross final energy consumption,2008 ,8.0,Greece
Transport,2008 ,1.1,Greece
Electricity,2008 ,9.6,Greece
Heating and Cooling,2008 ,14.3,Greece
Gross final energy consumption,2009 ,8.5,Greece
Transport,2009 ,1.1,Greece
Electricity,2009 ,11.0,Greece
Heating and Cooling,2009 ,16.5,Greece
Gross final energy consumption,2010 ,9.8,Greece
Transport,2010 ,1.9,Greece
Electricity,2010 ,12.3,Greece
Heating and Cooling,2010 ,17.9,Greece
Gross final energy consumption,2011 ,10.9,Greece
Transport,2011 ,0.6,Greece
Electricity,2011 ,13.8,Greece
Heating and Cooling,2011 ,19.4,Greece
Gross final energy consumption,2012 ,13.5,Greece
Transport,2012 ,0.9,Greece
Electricity,2012 ,16.4,Greece
Heating and Cooling,2012 ,23.4,Greece
Gross final energy consumption,2013 ,15.0,Greece
Transport,2013 ,1.0,Greece
Electricity,2013 ,21.2,Greece
Heating and Cooling,2013 ,26.5,Greece
Gross final energy consumption,2014 ,15.3,Greece
Transport,2014 ,1.3,Greece
Electricity,2014 ,21.9,Greece
Heating and Cooling,2014 ,26.9,Greece
Gross final energy consumption,2015 ,15.3,Greece
Transport,2015 ,1.1,Greece
Electricity,2015 ,22.1,Greece
Heating and Cooling,2015 ,25.6,Greece
Gross final energy consumption,2016 ,15.2,Greece
Transport,2016 ,1.7,Greece
Electricity,2016 ,23.8,Greece
Heating and Cooling,2016 ,24.2,Greece
Gross final energy consumption,2004 ,8.4 ,Spain
Transport,2004 ,1.0 ,Spain
Electricity,2004 ,19.0 ,Spain
Heating and Cooling,2004 ,9.5 ,Spain
Gross final energy consumption,2005 ,8.5,Spain
Transport,2005 ,1.3,Spain
Electricity,2005 ,19.1,Spain
Heating and Cooling,2005 ,9.4,Spain
Gross final energy consumption,2006 ,9.2,Spain
Transport,2006 ,0.8,Spain
Electricity,2006 ,20.0,Spain
Heating and Cooling,2006 ,11.4,Spain
Gross final energy consumption,2007 ,9.7,Spain
Transport,2007 ,1.4,Spain
Electricity,2007 ,21.7,Spain
Heating and Cooling,2007 ,11.3,Spain
Gross final energy consumption,2008 ,10.8,Spain
Transport,2008 ,2.2,Spain
Electricity,2008 ,23.7,Spain
Heating and Cooling,2008 ,11.7,Spain
Gross final energy consumption,2009 ,13.0,Spain
Transport,2009 ,3.7,Spain
Electricity,2009 ,27.8,Spain
Heating and Cooling,2009 ,13.3,Spain
Gross final energy consumption,2010 ,13.8,Spain
Transport,2010 ,5.0,Spain
Electricity,2010 ,29.8,Spain
Heating and Cooling,2010 ,12.6,Spain
Gross final energy consumption,2011 ,13.2,Spain
Transport,2011 ,0.6,Spain
Electricity,2011 ,31.6,Spain
Heating and Cooling,2011 ,13.6,Spain
Gross final energy consumption,2012 ,14.3,Spain
Transport,2012 ,0.7,Spain
Electricity,2012 ,33.5,Spain
Heating and Cooling,2012 ,14.1,Spain
Gross final energy consumption,2013 ,15.3,Spain
Transport,2013 ,0.8,Spain
Electricity,2013 ,36.7,Spain
Heating and Cooling,2013 ,14.1,Spain
Gross final energy consumption,2014 ,16.1,Spain
Transport,2014 ,0.8,Spain
Electricity,2014 ,37.8,Spain
Heating and Cooling,2014 ,15.7,Spain
Gross final energy consumption,2015 ,16.2,Spain
Transport,2015 ,1.2,Spain
Electricity,2015 ,37.0,Spain
Heating and Cooling,2015 ,16.8,Spain
Gross final energy consumption,2016 ,17.3,Spain
Transport,2016 ,5.3,Spain
Electricity,2016 ,36.6,Spain
Heating and Cooling,2016 ,16.8,Spain
Gross final energy consumption,2004 ,29.2 ,Finland
Transport,2004 ,1.0 ,Finland
Electricity,2004 ,26.7 ,Finland
Heating and Cooling,2004 ,39.5 ,Finland
Gross final energy consumption,2005 ,28.8,Finland
Transport,2005 ,0.9,Finland
Electricity,2005 ,26.9,Finland
Heating and Cooling,2005 ,39.1,Finland
Gross final energy consumption,2006 ,30.0,Finland
Transport,2006 ,1.0,Finland
Electricity,2006 ,26.4,Finland
Heating and Cooling,2006 ,41.4,Finland
Gross final energy consumption,2007 ,29.6,Finland
Transport,2007 ,1.0,Finland
Electricity,2007 ,25.5,Finland
Heating and Cooling,2007 ,41.4,Finland
Gross final energy consumption,2008 ,31.3,Finland
Transport,2008 ,2.9,Finland
Electricity,2008 ,27.3,Finland
Heating and Cooling,2008 ,43.3,Finland
Gross final energy consumption,2009 ,31.3,Finland
Transport,2009 ,4.6,Finland
Electricity,2009 ,27.3,Finland
Heating and Cooling,2009 ,43.1,Finland
Gross final energy consumption,2010 ,32.4,Finland
Transport,2010 ,4.4,Finland
Electricity,2010 ,27.7,Finland
Heating and Cooling,2010 ,44.2,Finland
Gross final energy consumption,2011 ,32.8,Finland
Transport,2011 ,1.0,Finland
Electricity,2011 ,29.4,Finland
Heating and Cooling,2011 ,45.9,Finland
Gross final energy consumption,2012 ,34.4,Finland
Transport,2012 ,1.1,Finland
Electricity,2012 ,29.5,Finland
Heating and Cooling,2012 ,48.4,Finland
Gross final energy consumption,2013 ,36.7,Finland
Transport,2013 ,10.2,Finland
Electricity,2013 ,30.9,Finland
Heating and Cooling,2013 ,50.8,Finland
Gross final energy consumption,2014 ,38.7,Finland
Transport,2014 ,22.0,Finland
Electricity,2014 ,31.4,Finland
Heating and Cooling,2014 ,52.0,Finland
Gross final energy consumption,2015 ,39.2,Finland
Transport,2015 ,22.0,Finland
Electricity,2015 ,32.5,Finland
Heating and Cooling,2015 ,52.5,Finland
Gross final energy consumption,2016 ,38.7,Finland
Transport,2016 ,8.4,Finland
Electricity,2016 ,32.9,Finland
Heating and Cooling,2016 ,53.7,Finland
Gross final energy consumption,2004 ,9.5 ,France
Transport,2004 ,1.5 ,France
Electricity,2004 ,13.8 ,France
Heating and Cooling,2004 ,12.5 ,France
Gross final energy consumption,2005 ,9.6,France
Transport,2005 ,2.1,France
Electricity,2005 ,13.7,France
Heating and Cooling,2005 ,12.3,France
Gross final energy consumption,2006 ,9.3,France
Transport,2006 ,2.3,France
Electricity,2006 ,14.1,France
Heating and Cooling,2006 ,11.7,France
Gross final energy consumption,2007 ,10.3,France
Transport,2007 ,4.0,France
Electricity,2007 ,14.3,France
Heating and Cooling,2007 ,12.9,France
Gross final energy consumption,2008 ,11.3,France
Transport,2008 ,6.2,France
Electricity,2008 ,14.4,France
Heating and Cooling,2008 ,13.4,France
Gross final energy consumption,2009 ,12.3,France
Transport,2009 ,6.6,France
Electricity,2009 ,15.1,France
Heating and Cooling,2009 ,15.1,France
Gross final energy consumption,2010 ,12.7,France
Transport,2010 ,6.5,France
Electricity,2010 ,14.8,France
Heating and Cooling,2010 ,16.2,France
Gross final energy consumption,2011 ,11.1,France
Transport,2011 ,1.0,France
Electricity,2011 ,16.2,France
Heating and Cooling,2011 ,15.9,France
Gross final energy consumption,2012 ,13.4,France
Transport,2012 ,7.6,France
Electricity,2012 ,16.4,France
Heating and Cooling,2012 ,17.1,France
Gross final energy consumption,2013 ,14.1,France
Transport,2013 ,7.7,France
Electricity,2013 ,16.8,France
Heating and Cooling,2013 ,18.3,France
Gross final energy consumption,2014 ,14.7,France
Transport,2014 ,8.4,France
Electricity,2014 ,18.3,France
Heating and Cooling,2014 ,18.9,France
Gross final energy consumption,2015 ,15.1,France
